country_name,country_code,population_density,gdp_per_capita,life_expectancy,co2_emissions,dbpedia_uri
Iraq,IRQ,97.0138092276507,4295.18945121228,69.651,30.737422557952,http://dbpedia.org/resource/Iraq
Ireland,IRL,73.1564377993903,86514.0706108754,82.4560975609756,54.1458207214612,http://dbpedia.org/resource/Ireland
Israel,ISR,425.836414048059,44575.5719045492,82.6487804878049,50.7617280333366,http://dbpedia.org/resource/Israel
Italy,ITA,200.999100491348,32091.4866621366,82.1951219512195,37.8589821663948,http://dbpedia.org/resource/Italy
Ivory Coast,CIV,90.9290849056604,2179.72934832935,60.14,3.25077885512306,http://dbpedia.org/resource/Ivory_Coast
Jamaica,JAM,261.379409048938,5299.04530804283,71.452,16.5523344617641,http://dbpedia.org/resource/Jamaica
Japan,JPN,346.395061728395,40028.7341726762,84.56,64.2519669573344,http://dbpedia.org/resource/Japan
Jordan,JOR,122.364439038674,4022.0401356135,75.583,15.3533794119184,http://dbpedia.org/resource/Jordan
Kazakhstan,KAZ,7.21640071119013,8781.50797787648,71.195,90.3819464475429,http://dbpedia.org/resource/Kazakhstan
Kenya,KEN,89.8940686683206,1927.66459027849,61.596,2.99263375484604,http://dbpedia.org/resource/Kenya
Kiribati,KIR,155.677777777778,1751.78249168214,65.205,3.59947178226042,http://dbpedia.org/resource/Kiribati
Kuwait,KWT,246.928563411897,25236.0755848941,78.7609756097561,169.356882005594,http://dbpedia.org/resource/Kuwait
Kyrgyzstan,KGZ,35.0708863399374,1229.51766602907,71.8,11.0398030365203,http://dbpedia.org/resource/Kyrgyzstan
Laos,LAO,31.8307322357019,2583.77730696131,68.339,20.9622675304352,http://dbpedia.org/resource/Laos
Latvia,LVA,30.5391129680219,17564.2321549354,75.1853658536585,29.1648973479425,http://dbpedia.org/resource/Latvia
Lebanon,LBN,557.419159335288,5561.19166950397,76.299,30.3375482944056,http://dbpedia.org/resource/Lebanon
Lesotho,LSO,73.6405467720685,918.582574704447,55.133,8.20513730535469,http://dbpedia.org/resource/Lesotho
Liberia,LBR,53.462032807309,616.787867006715,61.267,1.85471139149742,http://dbpedia.org/resource/Liberia
Libya,LBY,4.00411414346932,6650.33810585348,72.388,53.462443766417,http://dbpedia.org/resource/Libya
Liechtenstein,LIE,243.13125,164671.093553454,81.6585365853659,29.3107839818351,http://dbpedia.org/resource/Liechtenstein
Lithuania,LTU,44.8797349089748,20428.6478157394,75.0292682926829,33.4720033203513,http://dbpedia.org/resource/Lithuania
Luxembourg,LUX,244.874264894386,116860.02817236,82.1439024390244,99.6556258615302,http://dbpedia.org/resource/Luxembourg
Madagascar,MDG,49.7654795462358,450.771615201509,62.706,0.778156324759274,http://dbpedia.org/resource/Madagascar
Malawi,MWI,207.190156979211,602.507478176106,65.216,0.677089265498003,http://dbpedia.org/resource/Malawi
Malaysia,MYS,103.148860143053,9957.52626697613,76.057,59.0697232978332,http://dbpedia.org/resource/Malaysia
Maldives,MDV,1673.72666666667,7393.8886543933,78.713,22.6110823850493,http://dbpedia.org/resource/Maldives
Mali,MLI,17.7954548062187,953.242943290974,58.858,1.56452777133854,http://dbpedia.org/resource/Mali
Malta,MLT,1610.90625,31823.4363934505,82.0975609756098,25.0044631422074,http://dbpedia.org/resource/Malta
Marshall Islands,MHL,237.255555555556,5661.96787336674,65.387,20.2704259092898,http://dbpedia.org/resource/Marshall_Islands
Mauritania,MRT,4.46311341806539,1795.76459566714,66.794,6.84141124668897,http://dbpedia.org/resource/Mauritania
Mauritius,MUS,633.957936905358,9135.84773751062,74.1770731707317,23.5081128644707,http://dbpedia.org/resource/Mauritius
Mexico,MEX,65.227528485815,8841.27075039868,70.449,24.3261309981781,http://dbpedia.org/resource/Mexico
Moldova,MDA,91.7473260542588,4375.7788930524,69.914,26.142770944887,http://dbpedia.org/resource/Moldova
Mongolia,MNG,2.13623721809195,4001.25193077703,71.3490243902439,51.4451626807838,http://dbpedia.org/resource/Mongolia
Montenegro,MNE,46.5866171003717,7538.53635992191,75.9317073170732,32.540487296115,http://dbpedia.org/resource/Montenegro
