country_name,country_code,co2_emissions,dbpedia_uri
Seychelles,SYC,48.644146980561,http://dbpedia.org/resource/Seychelles
Syria,SYR,9.71841987002587,http://dbpedia.org/resource/Syria
Chad,TCD,0.75382549677522,http://dbpedia.org/resource/Chad
Togo,TGO,2.28849474923542,http://dbpedia.org/resource/Togo
Thailand,THA,29.714046448033,http://dbpedia.org/resource/Thailand
Tajikistan,TJK,7.82026419420641,http://dbpedia.org/resource/Tajikistan
Turkmenistan,TKM,81.4726903938572,http://dbpedia.org/resource/Turkmenistan
East Timor,TLS,2.74524132785126,http://dbpedia.org/resource/East_Timor
Tonga,TON,8.97638094514223,http://dbpedia.org/resource/Tonga
Trinidad and Tobago,TTO,81.2569533780326,http://dbpedia.org/resource/Trinidad_and_Tobago
Tunisia,TUN,19.2689802259104,http://dbpedia.org/resource/Tunisia
Turkey,TUR,38.9561203973895,http://dbpedia.org/resource/Turkey
Tuvalu,TUV,4.77007859788599,http://dbpedia.org/resource/Tuvalu
Tanzania,TZA,1.8715647369614,http://dbpedia.org/resource/Tanzania
Uganda,UGA,1.02234427861557,http://dbpedia.org/resource/Uganda
Ukraine,UKR,30.0176728256231,http://dbpedia.org/resource/Ukraine
Uruguay,URY,15.1977524039934,http://dbpedia.org/resource/Uruguay
United States,USA,104.261411169991,http://dbpedia.org/resource/United_States
Uzbekistan,UZB,27.0104302839006,http://dbpedia.org/resource/Uzbekistan
Saint Vincent and the Grenadines,VCT,16.805566174784,http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines
Venezuela,VEN,20.3602238265569,http://dbpedia.org/resource/Venezuela
Vietnam,VNM,29.4115207051187,http://dbpedia.org/resource/Vietnam
Vanuatu,VUT,3.11339974653897,http://dbpedia.org/resource/Vanuatu
Samoa,WSM,7.68625918326517,http://dbpedia.org/resource/Samoa
South Africa,ZAF,53.5005051790225,http://dbpedia.org/resource/South_Africa
Zambia,ZMB,3.21522170003088,http://dbpedia.org/resource/Zambia
Zimbabwe,ZWE,4.2438683760075,http://dbpedia.org/resource/Zimbabwe
